Country;Population(2020);Land Area(Km²);Density(P/Km²);wiki_site;wiki_status
Portugal;10196709;91590;111;https://en.wikipedia.org/wiki/Portugal;200.0
Qatar;2881053;11610;248;https://en.wikipedia.org/wiki/Qatar;200.0
Romania;19237691;230170;84;https://en.wikipedia.org/wiki/Romania;200.0
Russia;145934462;16376870;9;https://en.wikipedia.org/wiki/Russia;200.0
Rwanda;12952218;24670;525;https://en.wikipedia.org/wiki/Rwanda;200.0
Saint Kitts and Nevis;53199;260;205;https://en.wikipedia.org/wiki/Saint_Kitts_And_Nevis;200.0
Saint Lucia;183627;610;301;https://en.wikipedia.org/wiki/Saint_Lucia;200.0
Saint Vincent and the Grenadines;110940;390;284;https://en.wikipedia.org/wiki/Saint_Vincent_And_The_Grenadines;200.0
Samoa;198414;2830;70;https://en.wikipedia.org/wiki/Samoa;200.0
San Marino;33931;60;566;https://en.wikipedia.org/wiki/San_Marino;200.0
Sao Tome and Principe;219159;960;228;https://en.wikipedia.org/wiki/Sao_Tome_And_Principe;200.0
Saudi Arabia;34813871;2149690;16;https://en.wikipedia.org/wiki/Saudi_Arabia;200.0
Senegal;16743927;192530;87;https://en.wikipedia.org/wiki/Senegal;200.0
Serbia;8737371;87460;100;https://en.wikipedia.org/wiki/Serbia;200.0
Seychelles;98347;460;214;https://en.wikipedia.org/wiki/Seychelles;200.0
Sierra Leone;7976983;72180;111;https://en.wikipedia.org/wiki/Sierra_Leone;200.0
Singapore;5850342;700;8358;https://en.wikipedia.org/wiki/Singapore;200.0
Slovakia;5459642;48088;114;https://en.wikipedia.org/wiki/Slovakia;200.0
Slovenia;2078938;20140;103;https://en.wikipedia.org/wiki/Slovenia;200.0
Solomon Islands;686884;27990;25;https://en.wikipedia.org/wiki/Solomon_Islands;200.0
Somalia;15893222;627340;25;https://en.wikipedia.org/wiki/Somalia;200.0
South Africa;59308690;1213090;49;https://en.wikipedia.org/wiki/South_Africa;200.0
South Korea;51269185;97230;527;https://en.wikipedia.org/wiki/South_Korea;200.0
South Sudan;11193725;610952;18;https://en.wikipedia.org/wiki/South_Sudan;200.0
Spain;46754778;498800;94;https://en.wikipedia.org/wiki/Spain;200.0
Sri Lanka;21413249;62710;341;https://en.wikipedia.org/wiki/Sri_Lanka;200.0
Sudan;43849260;1765048;25;https://en.wikipedia.org/wiki/Sudan;200.0
Suriname;586632;156000;4;https://en.wikipedia.org/wiki/Suriname;200.0
Sweden;10099265;410340;25;https://en.wikipedia.org/wiki/Sweden;200.0
Switzerland;8654622;39516;219;https://en.wikipedia.org/wiki/Switzerland;200.0
Syria;17500658;183630;95;https://en.wikipedia.org/wiki/Syria;200.0
Tajikistan;9537645;139960;68;https://en.wikipedia.org/wiki/Tajikistan;200.0
Tanzania;59734218;885800;67;https://en.wikipedia.org/wiki/Tanzania;200.0
Thailand;69799978;510890;137;https://en.wikipedia.org/wiki/Thailand;200.0
Timor-Leste;1318445;14870;89;https://en.wikipedia.org/wiki/Timor-Leste;200.0
Togo;8278724;54390;152;https://en.wikipedia.org/wiki/Togo;200.0
Tonga;105695;720;147;https://en.wikipedia.org/wiki/Tonga;200.0
Trinidad and Tobago;1399488;5130;273;https://en.wikipedia.org/wiki/Trinidad_And_Tobago;200.0
Tunisia;11818619;155360;76;https://en.wikipedia.org/wiki/Tunisia;200.0
Turkey;84339067;769630;110;https://en.wikipedia.org/wiki/Turkey;200.0
Turkmenistan;6031200;469930;13;https://en.wikipedia.org/wiki/Turkmenistan;200.0
Tuvalu;11792;30;393;https://en.wikipedia.org/wiki/Tuvalu;200.0
Uganda;45741007;199810;229;https://en.wikipedia.org/wiki/Uganda;200.0
Ukraine;43733762;579320;75;https://en.wikipedia.org/wiki/Ukraine;200.0
United Arab Emirates;9890402;83600;118;https://en.wikipedia.org/wiki/United_Arab_Emirates;200.0
United Kingdom;67886011;241930;281;https://en.wikipedia.org/wiki/United_Kingdom;200.0
United States of America;331002651;9147420;36;https://en.wikipedia.org/wiki/United_States_Of_America;200.0
Uruguay;3473730;175020;20;https://en.wikipedia.org/wiki/Uruguay;200.0
Uzbekistan;33469203;425400;79;https://en.wikipedia.org/wiki/Uzbekistan;200.0
Vanuatu;307145;12190;25;https://en.wikipedia.org/wiki/Vanuatu;200.0
Venezuela;28435940;882050;32;https://en.wikipedia.org/wiki/Venezuela;200.0
Vietnam;97338579;310070;314;https://en.wikipedia.org/wiki/Vietnam;200.0
Yemen;29825964;527970;56;https://en.wikipedia.org/wiki/Yemen;200.0
Zambia;18383955;743390;25;https://en.wikipedia.org/wiki/Zambia;200.0
Zimbabwe;14862924;386850;38;https://en.wikipedia.org/wiki/Zimbabwe;200.0
